197.571,112.302,330.149,288.924,321.357,312.491,536.158,497.911,765.655,344.856,333.085,262.417,603.902,333.08,671.727,238.899,718.672,397.83,712.772,447.891,0,0,0,0,724.565,344.862,1313.21,365.406,1557.5,515.558,153.583,135.85,159.388,109.456,153.66,224.089,0,0,1639.88,436.104,1636.92,436.149,1583.93,553.916,0,0,0,0,0,0
174.117,109.521,315.468,291.808,297.819,321.338,480.244,547.909,712.731,397.843,321.285,259.473,0,0,0,0,859.925,388.979,845.234,436.123,1213.06,391.973,0,0,871.715,338.963,1192.57,168.245,1257.23,483.197,129.993,133.007,130.169,106.618,130.054,221.311,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135.922,109.449,288.869,291.842,271.334,333.038,415.602,577.433,650.917,436.066,286.025,253.605,0,0,0,0,848.154,377.236,874.639,415.475,1174.88,483.327,1513.34,736.295,842.272,333.064,1145.43,126.97,1324.93,424.364,100.474,132.897,106.46,103.581,100.481,224.156,0,0,0,0,0,0,0,0,1607.44,656.826,1607.46,668.6,1525.13,768.669
112.316,109.381,259.458,291.916,247.745,341.9,374.276,600.959,603.852,459.59,253.662,250.671,0,0,0,0,871.693,344.86,862.876,409.554,1139.58,553.758,1366.16,733.401,862.885,291.901,1113.05,103.603,0,0,62.3645,130.15,80.0448,103.678,59.4832,221.309,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82.9942,115.295,241.837,291.786,224.317,344.877,356.584,618.624,577.291,471.423,241.835,247.701,0,0,0,0,874.619,344.85,865.805,412.551,1118.98,574.491,1372.1,859.979,877.607,268.34,1095.3,103.603,0,0,47.5887,132.958,53.4241,106.674,41.7834,221.303,0,0,0,0,0,0,0,0,1516.26,842.291,1498.62,856.973,1375,895.214
82.8315,109.378,230.129,288.98,221.344,350.745,356.57,621.462,574.358,471.403,230.061,244.83,0,0,0,0,848.144,353.679,848.153,403.748,1112.99,571.426,1292.62,912.933,0,0,0,0,0,0,38.7581,130.033,53.4289,106.297,35.8055,221.22,0,0,0,0,0,0,0,0,1433.89,912.891,1416.21,927.516,1283.81,951.194
79.973,106.484,238.849,280.134,224.311,347.769,368.386,606.784,586.198,462.549,235.949,241.836,0,0,0,0,621.522,371.356,0,0,0,0,0,0,630.359,336.041,1121.86,547.87,1227.83,921.753,38.7686,127.156,44.6338,106.293,35.8221,218.356,0,0,1372.04,957.104,1372.07,951.226,1195.42,957.077,0,0,0,0,0,0
94.6551,106.34,250.747,291.832,244.844,356.63,409.682,597.968,618.583,439.012,253.659,244.8,0,0,0,0,889.357,368.378,892.309,421.413,1145.44,509.64,1165.91,880.507,889.35,303.663,1139.5,194.71,0,0,56.4554,126.954,56.3357,106.518,50.5868,215.376,0,0,0,0,0,0,0,0,1280.73,968.805,1272.01,968.809,1163.1,898.219
118.26,103.562,285.971,283.098,271.394,341.887,462.64,574.47,659.781,409.523,288.947,238.931,524.375,294.865,574.503,221.151,883.461,365.472,898.189,412.585,1186.49,462.539,1127.81,827.546,901.133,312.474,1160.1,203.633,1560.4,150.699,76.9915,124.181,74.0927,106.497,77.0165,218.195,0,0,0,0,0,0,1592.85,168.277,1233.7,930.676,1216.07,930.664,1101.31,848.149
150.472,103.531,315.508,285.937,303.646,338.965,530.201,545.009,712.733,362.434,327.219,241.844,539.113,291.92,621.4,244.701,789.278,365.515,780.468,406.695,1213.03,409.558,1116.02,762.82,789.326,318.449,1189.5,221.157,0,0,103.596,127.054,103.627,103.621,106.409,215.37,0,0,0,0,0,0,0,0,1213.04,865.772,1195.47,865.799,1092.38,774.558
168.259,103.551,338.955,277.134,330.175,321.316,577.487,497.87,739.225,294.979,344.855,233.01,506.719,271.231,0,0,806.931,374.261,801.038,415.484,1213.16,247.789,1557.48,374.314,809.853,321.369,1233.75,341.935,1121.9,665.647,127.015,126.962,0,0,129.9,215.38,0,0,1092.46,689.245,1121.9,695.098,1130.73,677.406,1595.78,294.844,1592.86,300.717,1592.82,397.84
177.026,103.61,333.067,280.095,324.262,315.307,600.997,453.736,715.699,244.672,324.298,244.801,0,0,0,0,789.294,389.071,786.38,427.262,1233.66,315.527,1563.29,503.667,783.395,344.832,1174.83,321.33,0,0,133.008,127.054,129.974,106.621,132.899,215.374,0,0,0,0,0,0,0,0,1619.25,430.199,1616.37,441.987,1584,527.407
